product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
ALL NAT FRUIT SALAD PAIL,FRESH VALLEY FOODS,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Haverhill,MA",2,76.48
ALMOND WHL RAW,ARCADE INDUSTRIES,ARCADE S,Minimal Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Auburn,MA",1,120.27
ANISE FRSH,JM GROSS BROKERAGE C,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Chelsea,MA",1,19.15
APPLE CANDY COCONUT,JM GROSS BROKERAGE C,PACKER,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Chelsea,MA",1,25.97
APPLE CUT CHEF RDY IQF,DOLE PACKAGED FROZEN FOOD,DOLE,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),36,919.39
APPLE FUJI,RUBY ROBINSON PACIFICPRO,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),5,196.6
APPLE GALA,JM GROSS BROKERAGE C,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Chelsea,MA",2,79.1
APPLE GLDN DELICIOUS,RUBY ROBINSON PACIFICPRO,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,50.45
APPLE GRANNY SMITH,RUBY ROBINSON PACIFICPRO,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,49.55
APPLE MACINTOSH,YONDER FRUIT FARMS INC,LOCGROWR,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Hudson,NY",2,58.64
APPLE SLCD GOLD IQF TFF,JR SIMPLOT COMPANY FROZEN,SIMPLOT,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),93,2569.1699999999996
APPLE SLCD IQF,IDAHO FREEZ PAK CORP,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Wood Ridge,NJ",11,600.31
"Apples, Cortland #1 Loose",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",2,57
"Apples, Empire (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",7,263.83
"Apples, Empire #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",5,176
"Apples, Fuji (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",5,211.82
"Apples, Gala (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",21,777
"Apples, Ginger Gold",Dutton Berry Farm,Dutton Berry Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Brattleboro,VT",3,99.75
"Apples, Golden Delicious #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",6,171
"Apples, Honeycrisp (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",4,186
"Apples, Honeycrisp #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",1,56.34
"Apples, Jonagold (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",1,37.69
"Apples, Macoun #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",13,519.72
"Apples, McIntosh #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",4,123.19
"Apples, Paula Red",Dutton Berry Farm,Dutton Berry Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Brattleboro,VT",5,166.25
"Apples, Paula Red #1",Pine Hill Orchards,Pine Hill Orchards,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Colrain,MA",11,403
"Apples, SnapDragon (Eco)",Klein's Kill Fruit Farm,Klein's Kill Fruit Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Gremantown,NY",1,52.5
"Apples, Zestar",Dutton Berry Farm,Dutton Berry Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Brattleboro,VT",4,133
APPLESAUCE CINNAMON CUP,IPAP KNOUSE FOODS,MUSSELMN,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Peach Glen,PA",18,644.52
APPLESAUCE CUP TFF,IPAP KNOUSE FOODS,MUSSELMN,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,"Non GMO Verified,Simple Processed Foods",Local DC of Natl. Co.,"Peach Glen,PA",4,129.84
APPLESAUCE NAT UNSWTND CUP,IPAP KNOUSE FOODS,MUSSELMN,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Peach Glen,PA",7,210.91
APPLESAUCE UNSWTND,IPAP KNOUSE FOODS,WEST CRK,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Peach Glen,PA",23,1081.8400000000001
APRICOT TRKSH DRIED JUMBO TFF,AL BAZZINI CO INC,BAZZINI,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Allentown,PA",12,223.76999999999998
APRICOT UNSLFRD DICED,ARCADE INDUSTRIES,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Auburn,MA",1,64
APTZ BEEF EMPANADA SPANISH,SAUGATUCK KITCHENS LLC,SGTCKKTN,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Stratford,CT",1,56.76
APTZ CHEESE STICK MOZZ BRD ITAL,MCCAIN FOODS USA INC,ROMA,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),98,3741.9500000000003
APTZ CHEESE STICK MOZZ BTTRD,MCCAIN FOODS USA INC,ROMA,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),27,1079.64
APTZ CRAB CAKE MINI EXTRA FCY,CUISINE INNOVATIONS LLC,KAPTKTCH,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lakewood,NJ",6,428.64
APTZ DUMPLING EDAMAME FZ,SCHWANS FOOD SERVICE INC,CHEFONE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brooklyn,NY",263,9906.849999999999
APTZ DUMPLING MOMO CHICKEN FZ,HIMALAYAN MOMO,HMLYNMMO,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,MBE- Business Certification,Local Business/Non-Local Products,"Chicago,IL",18,1277.28
APTZ DUMPLING MOMO VEGAN FZ,HIMALAYAN MOMO,HMLYNMMO,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,MBE- Business Certification,Local Business/Non-Local Products,"Chicago,IL",10,709.6
APTZ DUMPLING PORK & KIMCHI FZ,TMI TRADING,CHEFONE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brooklyn,NY",41,1422.33
APTZ EGG ROLL VEG,WATER LILIES FOOD INC,ASIANPRD,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Bay Shore,NY",5,147.5
APTZ EGG ROLL VEG TFF FC FZ,SCHWANS FOOD SERVICE INC,MINH,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),209,10160.33
APTZ FONDUTA MAC N CHEESE BITE,STUFFED FOODS LLC,STFFDFDS,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Wilmington,MA",36,2393.64
APTZ FONTINA ARANCINI,STUFFED FOODS LLC,STFFDFDS,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Wilmington,MA",3,187.77
APTZ FRIED GRN TOMATO BRD FZ,TAMPA MAID FOODS INC,WEST CRK,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lakeland,FL",37,1978.26
APTZ MACARONI & CHEESE BITE,MCCAIN FOODS USA INC,ROMA,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),60,3948.47
"APTZ ONION RING 1/4"" SKINNY CUT",MCCAIN FOODS USA INC,GLDNCRSP,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),16,440.8
APTZ PAKORA VEG FZ,Monsoon Kitchens,MONSOON,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"WBE- Business Certification,MBE- Business Certification",Local Business/Non-Local Products,"Shrewsbury,MA",152,8051.4400000000005
APTZ PICKLE CHIP BTTRD TEMPURA,CAVENDISH FARMS INC,CAVENDSH,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),20,543.8
APTZ PIZZA LOG PEPPERONI,G&C FOOD DISTRIBUTORS,PACKER,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),88,3651.59
APTZ POTATO KEG STFD BACON CHED,STONE GATE FOODS,ENTC CUL,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Shakopee,MN",8,330.8
APTZ POTSTICKER CHICKEN,WATER LILIES FOOD INC,ASIANPRD,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Bay Shore,NY",9,419.67
APTZ POTSTICKER CHICKEN .8 OZ,SCHWANS FOOD SERVICE INC,CHEFONE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brooklyn,NY",26,906.36
APTZ POTSTICKER PORK TFF,AMOY ASIAN FDS NA INC,AMOY,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Fairlawn,NJ",20,1400.2
APTZ POTSTICKER VEG,WATER LILIES FOOD INC,ASIANPRD,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Bay Shore,NY",6,280.08
APTZ POTSTICKER VEG .8 OZ FZ,SCHWANS FOOD SERVICE INC,CHEFONE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brooklyn,NY",48,1599.7800000000002
APTZ RAVIOLI TOASTED 4 CHEESE,ROSINA FOOD PRODUCTS INC,ROMA,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Cheektowaga,NY",19,712.1899999999999
APTZ SAMOSA VEG SM FZ,Monsoon Kitchens,MONSOON,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"WBE- Business Certification,MBE- Business Certification",Local Business/Non-Local Products,"Shrewsbury,MA",13,593.8399999999999
APTZ SATAY CHICKEN UNSEASND,CUISINE INNOVATIONS LLC,ENTC CUL,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Lakewood,NJ",8,652.32
APTZ SPRING ROLL VEG CKTL TFF,AMOY ASIAN FDS NA INC,AMOY,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Fairlawn,NJ",328,16038.710000000001
APTZ THAI CURRY SAMOSA,SCHWANS FOOD SERVICE INC,CHEFONE,Highly Proccessed,Frozen,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brooklyn,NY",1,56.49
ARTICHOKE HEART QRTR,REMA FOODS INC,ROMA,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local Business/Non-Local Products,"Englewood Cliffs,NJ",32,1758.7600000000002
ARTICHOKE HEART QRTRS,NORTHEAST MARKETING CO,PACKER,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,NA,"Everett,MA",5,291.90000000000003
ARTICHOKE WITH STEM GRILLED,Savello USA Inc,Silano,Simple Proccessed,Grocery,SID WAINER,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Wilkes-Barre,PA",1,64.95
Arugula - Organic,Markristo Farm,Markristo Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,USDA Certified Organic,Qualifying Spend,"Local,USDA Certified Organic,Minimal (or No) Processing",Local Vendors/Local Products,"Hillsdale,NY",1,25.5
ARUGULA BABY,RUBY ROBINSON FRANGELLA,B&W,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),411,7849.649999999999
"Arugula, Baby - Certified Naturally Grown",Queen's Greens,Queen's Greens,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Amherst,MA",2,71.34
Asparagus,Smiarowski Farm,Smiarowski Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Sunderland,MA",18,1782
Asparagus #1s - IPM,Warner Farm,Warner Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Sunderland,MA",1,99
ASPARAGUS SPEARS MED GRD A,JR SIMPLOT COMPANY FROZEN,SIMPLOT,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,60.88
ASPARAGUS STD,FRANGELLA ASSOCIATES INC,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,"Delmar,NY",93,2890.56
"Asparagus, #1s - IPM",PLAINVILLE FARM,Plainville Farm,Minimal Proccessed,Produce,MARTY'S LOCAL,NA,Qualifying Spend,"Local,Minimal (or No) Processing",Local Vendors/Local Products,"Hadley,MA",13,1196
"ASPARAGUS, STANDARD",Packer Label,Sid Wainer,Minimal Proccessed,Produce,SID WAINER,NA,Qualifying Spend,Minimal (or No) Processing,Local DC of Natl. Co.,"New Bedford,MA",1,41.75
Assorted Local Bagels,Tandem Bagel Company,Tandem Bagel Company,Highly Proccessed,Baked Breads,TANDEM BAGEL COMPANY,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Hadley,MA",3789,2728.08
AVOCADO CHNK,MEGAMEX FRESHERIZED,WHLLGCML,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),13,811.46
AVOCADO HASS,ARMSTRONG MARKETING,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),1,48.39
AVOCADO HLVS,MEGAMEX FRESHERIZED,WHLYAVCD,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),102,5615.0999999999995
AVOCADO HLVS IQF,JR SIMPLOT COMPANY FROZEN,SMPLT CL,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),3,269.22
AVOCADO PULP CHNKY CHILLED,JR SIMPLOT COMPANY FROZEN,HRVSTFSH,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),56,3638.9799999999996
AVOCADO PULP FZ,JR SIMPLOT COMPANY FROZEN,CONTIGO,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,NA,(null),6,440.94
Bacon (Frozen),Fat Apple Farm,Fat Apple Farm,Animal Protein,Pork,MARTY'S LOCAL,NA,Non-Qualifying Spend,Local,Local Vendors/Local Products,"Pine Plains,NY",1,66.38
BACON 13-17 NAT CH GF,HORMEL FOODS CORP,HORMEL,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),238,17322.22
BACON 16-18 TURKEY SHNGL SLCD,KINNEALEY,GODSHAL,Animal Protein,Poultry,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Brockton,MA",113,5990.759999999999
BACON 18-22 ALL NAT FC #1,HORMEL FOODS CORP,HORMEL,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),6,671.1
BACON 3/8 IN FC NAT FZ,HORMEL FOODS CORP,HORMEL,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),32,2203.98
BACON CANADIAN FC TFF,CLEMENS FOOD GROUP LLC,HATFIELD,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Hatfield,PA",50,3499.8100000000004
BACON CANADIAN STYLE STICK FZ,SMITHFIELD FARMLAND FARM,FARMLAND,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),3,265.77
"BACON RND 3-4"" FC",TYSON FOODS INC,WEST CRK,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),105,5558.6900000000005
BACON RND FC 192 CT,HORMEL FOODS CORP,HRML F&E,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),11,630.5899999999999
BACON SLCD THICK FC,TYSON FOODS INC,WEST CRK,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,217.24
"BACON TOPPING 1/2"" DICED FZ TFF",HORMEL FOODS CORP,HORMEL,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),127,8359.28
"BACON TOPPING DICED 1""",HORMEL FOODS CORP,HORMEL,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,64.87
"BACON TOPPING FC 1/2"" TFF FZ",TYSON FOODS INC,LUIGI,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),24,1809.88
BACON TOPPING PCS FC,Jones Dairy Farm,JONESDRY,Animal Protein,Pork,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Fort Atkinson,WI",22,1654.62
BAGEL ANCIENT GRAIN PARBKD,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",1,16.49
BAGEL CINN-RSN T&S,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",25,625.8399999999998
BAGEL CINNAMON,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",1,16.26
BAGEL EVERYTHING PARBKD,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",2,32.52
BAGEL EVERYTHING T&S,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",65,1667.24
BAGEL PLN NY STYLE SLCD T&S,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",60,1447.7999999999997
BAGEL PLN PARBKD,ORIGINAL BAGEL COMPANY,ORG BAGL,Highly Proccessed,Baked Breads,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Non GMO Verified,Local Business/Non-Local Products,"West Caldwell,NJ",1,15.35
BAKING PWDR,DIAMOND CRYSTAL BRANDS IN,CHEFCMPN,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),5,42.55
BAKING PWDR TFF,KRAFT HEINZ DRY,CALUMET,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),14,155.60000000000002
BAKING SODA TFF,DIAMOND CRYSTAL BRANDS IN,DMND CRY,Highly Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),7,146.26
BAMBOO SHOOTS SLCD TFF,ROLAND FOODS LLC,ROLAND,Simple Proccessed,Grocery,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Simple Processed Foods,Local DC of Natl. Co.,"Dayton,NJ",9,450.14
BANANA GRN TIP,JM GROSS BROKERAGE C,PACKER,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Chelsea,MA",4,101
BANANA SLCS,IDAHO FREEZ PAK CORP,REGAL NP,Minimal Proccessed,Produce,PERFORMANCE FOOD GROUP,NA,Qualifying Spend,Minimal (or No) Processing,Local Business/Non-Local Products,"Wood Ridge,NJ",26,413.82
BAR DARK CHOC NUT & SEA SALT,KIND HEALTHY SNACKS,KIND,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),26,2377.96
BAR GRANOLA CHOC CHIP CHWY,THE QUAKER OATS CO,QUAKER,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),168,4821.9000000000005
BAR GRANOLA CHWY TRAIL MIX TFF,GENERAL MILLS DRY & FRZN,"NAT VLY",Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),4,289
BAR GRANOLA CHWY.89 OZ VAR,GENERAL MILLS DRY & FRZN,"NAT VLY",Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),102,4501.04
BAR GRANOLA OATS & HONEY 1.5 OZ,GENERAL MILLS DRY & FRZN,"NAT VLY",Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),6,368.70000000000005
BAR GRANOLA OATS & HONEY TFF,GENERAL MILLS DRY & FRZN,"NAT VLY",Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),10,345.5
BAR NTRTN APPLE PIE,GENERAL MILLS DRY & FRZN,LARABAR,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),39,2610.1
BAR NTRTN CRNBRY ALMOND TFF,KIND HEALTHY SNACKS,KIND,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),23,2111.74
BAR NTRTN PEANUT BUTTER,UNFI UNITED NATURAL FOODS,LARABAR,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),3,61.05
BAR NTRTN PEANUT BUTTER CHOC,KIND HEALTHY SNACKS,KIND,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),26,2367.0800000000004
BAR NTRTN PEANUT BUTTER COOKIE,GENERAL MILLS DRY & FRZN,LARABAR,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),20,1342
BAR OATMEAL CHOC CHIP IW,GENERAL MILLS DRY & FRZN,BETTY CR,Highly Proccessed,Snacks,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,53.13
