product,manufacturer,brand,category,subcategory,distributor,stars_TPC,stars_pb,attributes,local_category,brand_city,total_quantity,total_spend
MILK 1% LF PLAS BOTTLE,SAPUTO DAIRY FOODS USA,NTRSBST,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,NA,(null),1,15.9
MILK 2% GA PLAS JUG FRSH,GUIDA SEIBERT DAIRY CO IN,GUIDA,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"New Britain,CT",8,125.04
MILK ALMOND BARISTA,PEETS COFFEE & TEA,PCFCSLSY,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,NA,(null),1,21.65
MILK ALMOND ORGNL SWTND UHT,HP HOOD LLC,ALMNDBRZ,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Oneida,NY",1,17.77
MILK ALMOND ORGNL UNSWTND UHT,HP HOOD LLC,ALMNDBRZ,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Oneida,NY",19,344.43999999999994
MILK ALMOND PURE ORGNL UNSWTND,DANONE US LLC,SILK,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,"Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),2,35.92
MILK ALMOND VANILLA UNSWTND UHT,HP HOOD LLC,ALMNDBRZ,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Oneida,NY",1,17.87
MILK CHOC 1% ORGANIC ASEPTIC,DANONE GROUP,HRZN ORG,Dairy,Dairy,PERFORMANCE FOOD GROUP,USDA Certified Organic,Non-Qualifying Spend,"USDA Certified Organic,B-Corp. Certified",NA,(null),7,139.72
MILK CHOC PREM PLAS BOTTLE,HP HOOD LLC,HOOD,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local DC of Natl. Co.,"Oneida,NY",2,23.73
MILK COCONUT,DOT FOODS INC,SAVOR,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,NA,(null),5,356.6
MILK COCONUT,MCCORMICK& CO INC,ASIANPRD,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,NA,(null),9,220.86
MILK COCONUT SHELF STBL,ROLAND FOODS LLC,ROLAND,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Dayton,NJ",60,3740.4299999999994
MILK COCONUT SS TFF,ROLAND FOODS LLC,ROLAND,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,Veg Alternatives to Meat/Dairy,Local DC of Natl. Co.,"Dayton,NJ",5,173.2
MILK COCONUT UNSWTND ORGANIC GF,DANONE US LLC,SO DELCS,Plant Protein,Plant Dairy,PERFORMANCE FOOD GROUP,USDA Certified Organic,Qualifying Spend,"USDA Certified Organic,Non GMO Verified,B-Corp. Certified,Veg Alternatives to Meat/Dairy",NA,(null),2,41.6
MILK CONDENSED SWTND CAN,REMA FOODS INC,CONTIGO,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Englewood Cliffs,NJ",21,872.8199999999999
MILK EVAPORATED CAN,REMA FOODS INC,NTRSBST,Dairy,Dairy,PERFORMANCE FOOD GROUP,NA,Non-Qualifying Spend,NA,Local Business/Non-Local Products,"Englewood Cliffs,NJ",6,165.74
